,Year,GDP Per Capita (US $)
1,1961,62.4437
2,1962,60.9504
3,1963,82.0217
4,1964,85.5111
5,1965,105.2432
6,1966,143.1032
7,1967,167.1657
8,1968,134.0128
9,1969,134.2504
10,1970,162.6422
11,1971,166.2248
12,1972,141.3653
13,1973,149.7441
14,1974,181.5988
15,1975,194.669
16,1976,205.6741
17,1977,232.7787
18,1978,255.0456
19,1979,284.7555
20,1980,291.6498
21,1981,311.8536
22,2002,183.5328
23,2003,200.4624
24,2004,221.6577
25,2005,255.0551
26,2006,274.0007
27,2007,375.0783
28,2008,387.8493
29,2009,443.8452
30,2010,554.5947
31,2011,621.9124
32,2012,663.1411
33,2013,651.9879
34,2014,628.1468
35,2015,592.4762
36,2016,520.252
37,2017,530.1499
38,2018,502.0571
39,2019,500.523
40,2020,516.8668
41,2021,363.6741
