Macrotrends Data Download

Afghanistan GDP Per Capita 1960-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Per Capita (US $), Annual Growth Rate (%), 
1960-12-31,62.3694
1961-12-31,62.4437,0.12
1962-12-31,60.9504,-2.39
1963-12-31,82.0217,34.57
1964-12-31,85.5111,4.25
1965-12-31,105.2432,23.08
1966-12-31,143.1032,35.97
1967-12-31,167.1657,16.81
1968-12-31,134.0128,-19.83
1969-12-31,134.2504,0.18
1970-12-31,162.6422,21.15
1971-12-31,166.2248,2.2
1972-12-31,141.3653,-14.96
1973-12-31,149.7441,5.93
1974-12-31,181.5988,21.27
1975-12-31,194.669,7.2
1976-12-31,205.6741,5.65
1977-12-31,232.7787,13.18
1978-12-31,255.0456,9.57
1979-12-31,284.7555,11.65
1980-12-31,291.6498,2.42
1981-12-31,311.8536,6.93
2002-12-31,183.5328,-41.15
2003-12-31,200.4624,9.22
2004-12-31,221.6577,10.57
2005-12-31,255.0551,15.07
2006-12-31,274.0007,7.43
2007-12-31,375.0783,36.89
2008-12-31,387.8493,3.4
2009-12-31,443.8452,14.44
2010-12-31,554.5947,24.95
2011-12-31,621.9124,12.14
2012-12-31,663.1411,6.63
2013-12-31,651.9879,-1.68
2014-12-31,628.1468,-3.66
2015-12-31,592.4762,-5.68
2016-12-31,520.252,-12.19
2017-12-31,530.1499,1.9
2018-12-31,502.0571,-5.3
2019-12-31,500.523,-0.31
2020-12-31,516.8668,3.27
2021-12-31,363.6741,-29.64
